title,creation_date,creation_date_earliest,creation_date_latest,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place
"Portrait of Richard Weston, First Earl of Portland",1630s,1630-01-01,1641-01-01,oil on canvas,29.2.25,cmoa:things/fabb2054-1848-4f8e-bf03-b97ee9ce26f0,Bequest of Mrs. J. Willis Dalzell,1929-02-25,Fine Arts,Not on View,23.0,25.0,3.75,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1006189,"John Levy Galleries, New York, NY, until April 1919; Mrs. J. Willis Dalzell (Mary Beer Dalzell) [1844-1929], Pittsburgh, PA, April 3, 1919 until February 13, 1929; Mary B. Dalzell estate, February 1929; bequest to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, February 1929.

Notes:
Purchased as ""Portrait of Jerome Weston"" for $5,000 (see John Levy list of Mrs. Dalzell's purchases, dated April 8, 1919, in donor file.)
The painting was collected from Mrs. Dalzell's residence on Ridge Avenue in Pittsburgh and brought to Carnegie Institute on February 19, 1929. It was accessioned on February 25, 1929.

Updated and under review by CGK",paintings,http://collection.cmoa.org/CollectionImage.aspx?irn=126320&size=Medium,cmoa:parties/210e1c56-9d71-42e3-8910-f04ec39e3393,Person,Anthony van Dyck,"Van Dyck, Anthony",studio of,Flemish,1599-01-01,1641-01-01,"Antwerp (Antwerpen province, Flanders, Belgium)","London, England"
Ecce Homo,17th-18th century,1650-01-01,1800-01-01,pen and brown ink,36.3,cmoa:things/abc510a7-d3fb-4207-bec2-d43db9d9353f,Gift of Kenneth Seaver,1936-11-30,Fine Arts,Not on View,14.25,19.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1006885,"J. D. Böhm (1794-1865), Vienna (Lugt 1442 and  Lugt 271); A. Artaria (1807-1893), Vienna (Lugt 33); Paul Sachs (b. 1873), Munich (Lugt 2925a);  Gift of Kenneth Seaver",drawings and watercolors,http://collection.cmoa.org/CollectionImage.aspx?irn=99104&size=Medium,cmoa:parties/9ad7eee6-c0a1-4b32-b23b-529938123670,Person,Rembrandt Harmensz. van Rijn,"Rijn, Rembrandt Harmensz. van",school of,Dutch,1606-01-01,1669-01-01,"Leyden (South Holland, Netherlands)","Amsterdam (North Holland, Netherlands)"
Alexandre Nordmann,1848,1848-01-01,1848-01-01,lithograph on paper,43.4.10,cmoa:things/869cf0f7-4180-499c-bb76-b6680aa1204a,Anonymous Gift,1943-05-12,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007397,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104698&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104699&size=Medium,cmoa:parties/4a181e86-a98f-4ae3-b4db-e3a98e577536|cmoa:parties/99a8d24c-f704-4e32-86fd-219ecb61a01f,Person|Person,Denis Auguste Marie Raffet|Auguste Bry,"Raffet, Denis A.|Bry, Auguste",printmaker|,French|French,1804-01-01|,1860-01-01|,"Paris (Ville de Paris department, Île-de-France, France)|"," Genoa (Genova province, Liguria, Italy)|"
Amedee Huot,1848,1824-01-01,1860-01-01,lithograph on paper,43.4.11,cmoa:things/ae9e7a63-dd42-4a58-8a6d-fad6b915c3d9,Anonymous Gift,1943-05-12,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007398,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104672&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104673&size=Medium,cmoa:parties/4a181e86-a98f-4ae3-b4db-e3a98e577536|cmoa:parties/99a8d24c-f704-4e32-86fd-219ecb61a01f,Person|Person,Denis Auguste Marie Raffet|Auguste Bry,"Raffet, Denis A.|Bry, Auguste",printmaker|,French|French,1804-01-01|,1860-01-01|,"Paris (Ville de Paris department, Île-de-France, France)|"," Genoa (Genova province, Liguria, Italy)|"
Auguste de Sainson,1848,1824-01-01,1860-01-01,lithograph on paper,43.4.12,cmoa:things/4c910d19-8cc7-4ef8-958f-f55f1ae443d7,Anonymous Gift,1943-05-12,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007399,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104674&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104675&size=Medium,cmoa:parties/4a181e86-a98f-4ae3-b4db-e3a98e577536|cmoa:parties/99a8d24c-f704-4e32-86fd-219ecb61a01f,Person|Person,Denis Auguste Marie Raffet|Auguste Bry,"Raffet, Denis A.|Bry, Auguste",printmaker|,French|French,1804-01-01|,1860-01-01|,"Paris (Ville de Paris department, Île-de-France, France)|"," Genoa (Genova province, Liguria, Italy)|"
"Camp de Cavalerie (Cuirassiers) a Vosnessensk, 6 Septembre 1937",1842,1824-01-01,1860-01-01,lithograph on paper,43.4.13,cmoa:things/daaf89bd-943f-4249-8626-3090c29318e1,Anonymous Gift,1943-05-12,Fine Arts,Not on View,22.0,16.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007400,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104676&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104677&size=Medium,cmoa:parties/4a181e86-a98f-4ae3-b4db-e3a98e577536|cmoa:parties/99a8d24c-f704-4e32-86fd-219ecb61a01f,Person|Person,Denis Auguste Marie Raffet|Auguste Bry,"Raffet, Denis A.|Bry, Auguste",printmaker|,French|French,1804-01-01|,1860-01-01|,"Paris (Ville de Paris department, Île-de-France, France)|"," Genoa (Genova province, Liguria, Italy)|"
"Camp D'Infanterie a Vosnessensk, 6 Septembre 1837",1842,1842-01-01,1842-01-01,lithograph on paper,43.4.14,cmoa:things/082f569c-de99-4b88-b378-789f1d213590,Anonymous Gift,1943-05-12,Fine Arts,Not on View,22.0,16.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007401,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104678&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104679&size=Medium,cmoa:parties/4a181e86-a98f-4ae3-b4db-e3a98e577536|cmoa:parties/99a8d24c-f704-4e32-86fd-219ecb61a01f,Person|Person,Denis Auguste Marie Raffet|Auguste Bry,"Raffet, Denis A.|Bry, Auguste",printmaker|,French|French,1804-01-01|,1860-01-01|,"Paris (Ville de Paris department, Île-de-France, France)|"," Genoa (Genova province, Liguria, Italy)|"
Frederic Leplay,1848,1824-01-01,1860-01-01,lithograph on paper,43.4.16,cmoa:things/55b98735-db79-4645-bdbb-c4bcb2b6d6d2,Anonymous Gift,1943-05-12,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007403,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104682&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104683&size=Medium,cmoa:parties/4a181e86-a98f-4ae3-b4db-e3a98e577536|cmoa:parties/99a8d24c-f704-4e32-86fd-219ecb61a01f,Person|Person,Denis Auguste Marie Raffet|Auguste Bry,"Raffet, Denis A.|Bry, Auguste",printmaker|,French|French,1804-01-01|,1860-01-01|,"Paris (Ville de Paris department, Île-de-France, France)|"," Genoa (Genova province, Liguria, Italy)|"
Henri Malinvaud,1848,1824-01-01,1860-01-01,lithograph on paper,43.4.17,cmoa:things/67fe341d-2d23-45dd-982e-aebf1b679451,Anonymous Gift,1943-05-12,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007404,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104684&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104685&size=Medium,cmoa:parties/4a181e86-a98f-4ae3-b4db-e3a98e577536|cmoa:parties/99a8d24c-f704-4e32-86fd-219ecb61a01f,Person|Person,Denis Auguste Marie Raffet|Auguste Bry,"Raffet, Denis A.|Bry, Auguste",printmaker|,French|French,1804-01-01|,1860-01-01|,"Paris (Ville de Paris department, Île-de-France, France)|"," Genoa (Genova province, Liguria, Italy)|"
Jean Henri Leveille,1848,1824-01-01,1860-01-01,lithograph on paper,43.4.18,cmoa:things/330c7a86-8f2f-429b-90b7-e60bc0606862,Anonymous Gift,1943-05-12,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007405,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104686&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104687&size=Medium,cmoa:parties/4a181e86-a98f-4ae3-b4db-e3a98e577536|cmoa:parties/99a8d24c-f704-4e32-86fd-219ecb61a01f,Person|Person,Denis Auguste Marie Raffet|Auguste Bry,"Raffet, Denis A.|Bry, Auguste",printmaker|,French|French,1804-01-01|,1860-01-01|,"Paris (Ville de Paris department, Île-de-France, France)|"," Genoa (Genova province, Liguria, Italy)|"
Leon Lalanne,1848,1824-01-01,1860-01-01,lithograph on paper,43.4.19,cmoa:things/90abca56-8db1-4b06-855d-085a1b67dd2a,Anonymous Gift,1943-05-12,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007406,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104688&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104689&size=Medium,cmoa:parties/4a181e86-a98f-4ae3-b4db-e3a98e577536|cmoa:parties/99a8d24c-f704-4e32-86fd-219ecb61a01f,Person|Person,Denis Auguste Marie Raffet|Auguste Bry,"Raffet, Denis A.|Bry, Auguste",printmaker|,French|French,1804-01-01|,1860-01-01|,"Paris (Ville de Paris department, Île-de-France, France)|"," Genoa (Genova province, Liguria, Italy)|"
Louis Rousseau,1848,1824-01-01,1860-01-01,lithograph on paper,43.4.20,cmoa:things/bbb85f05-4789-49a9-9218-7e17f6e16651,Anonymous Gift,1943-05-12,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007408,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104690&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104691&size=Medium,cmoa:parties/4a181e86-a98f-4ae3-b4db-e3a98e577536|cmoa:parties/99a8d24c-f704-4e32-86fd-219ecb61a01f,Person|Person,Denis Auguste Marie Raffet|Auguste Bry,"Raffet, Denis A.|Bry, Auguste",printmaker|,French|French,1804-01-01|,1860-01-01|,"Paris (Ville de Paris department, Île-de-France, France)|"," Genoa (Genova province, Liguria, Italy)|"
Paul Kolounoff,1848,1824-01-01,1860-01-01,lithograph on paper,43.4.21,cmoa:things/3d12837e-f4d8-44f1-864f-3ef672230be5,Anonymous Gift,1943-05-12,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007409,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104692&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104693&size=Medium,cmoa:parties/4a181e86-a98f-4ae3-b4db-e3a98e577536|cmoa:parties/99a8d24c-f704-4e32-86fd-219ecb61a01f,Person|Person,Denis Auguste Marie Raffet|Auguste Bry,"Raffet, Denis A.|Bry, Auguste",printmaker|,French|French,1804-01-01|,1860-01-01|,"Paris (Ville de Paris department, Île-de-France, France)|"," Genoa (Genova province, Liguria, Italy)|"
Raffet,1848,1848-01-01,1848-01-01,lithograph on paper,43.4.22,cmoa:things/8acc0f56-5ef9-4245-b3f2-286b0fc36e70,Anonymous Gift,1943-05-12,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007410,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104694&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104695&size=Medium,cmoa:parties/4a181e86-a98f-4ae3-b4db-e3a98e577536|cmoa:parties/99a8d24c-f704-4e32-86fd-219ecb61a01f,Person|Person,Denis Auguste Marie Raffet|Auguste Bry,"Raffet, Denis A.|Bry, Auguste",printmaker|,French|French,1804-01-01|,1860-01-01|,"Paris (Ville de Paris department, Île-de-France, France)|"," Genoa (Genova province, Liguria, Italy)|"
"Revue de Cavalerie, Passee Par L.L.M.M. L'Empereur et L'Imperatrice de Russie, au Camp de Vosnessensk, 7 Septembre 1837",1848,1824-01-01,1860-01-01,lithograph on paper,43.4.23,cmoa:things/b9b8990e-f919-42c0-b7a4-dc2931f12228,Anonymous Gift,1943-05-12,Fine Arts,Not on View,22.0,16.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007411,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104696&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104697&size=Medium,cmoa:parties/4a181e86-a98f-4ae3-b4db-e3a98e577536|cmoa:parties/99a8d24c-f704-4e32-86fd-219ecb61a01f,Person|Person,Denis Auguste Marie Raffet|Auguste Bry,"Raffet, Denis A.|Bry, Auguste",printmaker|,French|French,1804-01-01|,1860-01-01|,"Paris (Ville de Paris department, Île-de-France, France)|"," Genoa (Genova province, Liguria, Italy)|"
Portrait of Raphael,1860,1860-01-01,1860-01-01,engraving on paper,43.4.60,cmoa:things/9425676d-3621-47a7-b585-f05b92a695c7,Anonymous Gift,1943-05-12,Fine Arts,Not on View,22.0,28.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007452,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=114728&size=Medium,cmoa:parties/f7ef0a9d-7ec4-4d2c-96fb-0aa4c1e93f31|cmoa:parties/13377d25-2aee-4ed0-8d91-702b6423c880,Person|Person,Eduard Mandel|Raphael,"Mandel, Eduard|Raphael",after|,German|Italian,1810-01-01|1483-01-01,1882-01-01|1520-01-01,|Urbino,|Rome
Portrait of Hendrick Goltzius,1649,1649-01-01,1649-01-01,engraving,43.4.61,cmoa:things/8aae5b65-3914-444c-ae9b-4c60a0a3d3ae,Anonymous Gift,1943-05-12,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007453,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=102156&size=Medium,cmoa:parties/a83bc6c6-72f0-471a-a2e5-a59709420059|cmoa:parties/00582137-383c-459a-827b-a49c62e0d1fd,Person|Person,Jonas Suyderhoef|Pieter Soutman,"Suyderhoef, Jonas|Soutman, Pieter",after|,Dutch|Dutch,1608-01-01|1580-01-01,1686-01-01|1657-01-01,"Haarlem (North Holland, Netherlands)|Haarlem (North Holland, Netherlands)","Haarlem (North Holland, Netherlands)|Haarlem (North Holland, Netherlands)"
"Venus, Eros, and Athena",1510-1520,1509-12-22,1519-12-22,engraving,43.4.66,cmoa:things/d83e967a-0026-4f24-9a4b-0cb9f66819db,Anonymous Gift,1943-05-12,Fine Arts,Not on View,14.25,19.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007458,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=101634&size=Medium,cmoa:parties/d3dcec87-61c7-44b6-a488-bd3e6a605c09|cmoa:parties/13377d25-2aee-4ed0-8d91-702b6423c880,Person|Person,Marcantonio Raimondi|Raphael,"Raimondi, Marcantonio|Raphael",school of|after,Italian|Italian,1480-01-01|1483-01-01,1530-01-01|1520-01-01,"Argini, nr Bologna, Italy?|Urbino","Bologna, Italy?|Rome"
Adolphe du Ponceau,1848,1824-01-01,1860-01-01,lithograph on paper,43.4.9,cmoa:things/5f604b4b-e526-453b-8f5e-db9ae05d6925,Anonymous Gift,1943-05-12,Fine Arts,Not on View,16.0,22.0,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007469,"Anonymous; gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, May 1943.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=104670&size=Medium|http://collection.cmoa.org/CollectionImage.aspx?irn=104671&size=Medium,cmoa:parties/4a181e86-a98f-4ae3-b4db-e3a98e577536|cmoa:parties/99a8d24c-f704-4e32-86fd-219ecb61a01f,Person|Person,Denis Auguste Marie Raffet|Auguste Bry,"Raffet, Denis A.|Bry, Auguste",printmaker|,French|French,1804-01-01|,1860-01-01|,"Paris (Ville de Paris department, Île-de-France, France)|"," Genoa (Genova province, Liguria, Italy)|"
"Nicolas de Netz, Bishop of Orleans",c. 1640-1650,1640-01-01,1650-01-01,engraving,46.16.10,cmoa:things/a3ac05a9-3e3a-4c77-ae5e-623c2b4621cb,Gift of Edward Duff Balken,1946-06-07,Fine Arts,Not on View,10.625,13.563,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007625,"Edward Duff Balken [1874-1960], Pittsburgh, PA (Lugt 843); gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, June 1946.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=105596&size=Medium,cmoa:parties/a6165f90-44af-4c56-b3dd-4e3ea0079c6f|cmoa:parties/8404a038-c1e2-4b71-8560-a7cef67a249d,Person|Person,Jean Morin|Philippe de Champaigne,"Morin, Jean|Champaigne, Philippe de",after|,French|French,1590-01-01|1602-01-01,1650-01-01|1674-01-01,"Paris (Ville de Paris department, Île-de-France, France)|Brussels (Bruxelles region, Belgium)","Paris (Ville de Paris department, Île-de-France, France)|Paris (Ville de Paris department, Île-de-France, France)"
Omer Talon,c. 1640-1650,1640-01-01,1650-01-01,engraving,46.16.11,cmoa:things/b636b99e-552b-4a0a-8200-c6f915dbdeda,Gift of Edward Duff Balken,1946-06-07,Fine Arts,Not on View,9.438,12.75,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007626,"Edward Duff Balken [1874-1960], Pittsburgh, PA (Lugt 843); gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, June 1946.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=105597&size=Medium,cmoa:parties/a6165f90-44af-4c56-b3dd-4e3ea0079c6f|cmoa:parties/8404a038-c1e2-4b71-8560-a7cef67a249d,Person|Person,Jean Morin|Philippe de Champaigne,"Morin, Jean|Champaigne, Philippe de",after|,French|French,1590-01-01|1602-01-01,1650-01-01|1674-01-01,"Paris (Ville de Paris department, Île-de-France, France)|Brussels (Bruxelles region, Belgium)","Paris (Ville de Paris department, Île-de-France, France)|Paris (Ville de Paris department, Île-de-France, France)"
"Philippe II, King of Spain",c. 1640-1650,1640-01-01,1650-01-01,engraving,46.16.12,cmoa:things/84d69533-4dfa-4fae-afff-5316bf389e15,Gift of Edward Duff Balken,1946-06-07,Fine Arts,Not on View,10.25,12.25,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007627,"Edward Duff Balken [1874-1960], Pittsburgh, PA (Lugt 843); gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, June 1946.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=105598&size=Medium,cmoa:parties/a6165f90-44af-4c56-b3dd-4e3ea0079c6f|cmoa:parties/e93d521c-d443-4b0c-86fe-12e7df38b03b,Person|Person,Jean Morin|Titian,"Morin, Jean|Titian",after|,French|Italian,1590-01-01|1488-01-01,1650-01-01|1576-01-01,"Paris (Ville de Paris department, Île-de-France, France)|Pieve di Cadore, Belluno province, Veneto, Italy","Paris (Ville de Paris department, Île-de-France, France)|Venice"
"Anne Sophie Herbert, Countess of Carnarvon",c. 1640-1650,1640-01-01,1650-01-01,engraving,46.16.1,cmoa:things/35ee83e7-fde6-43a3-a98b-de9495c43ce1,Gift of Edward Duff Balken,1946-06-07,Fine Arts,Not on View,10.125,12.875,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007635,"Edward Duff Balken [1874-1960], Pittsburgh, PA (Lugt 843); gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, June 1946.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=105588&size=Medium,cmoa:parties/a6165f90-44af-4c56-b3dd-4e3ea0079c6f|cmoa:parties/210e1c56-9d71-42e3-8910-f04ec39e3393,Person|Person,Jean Morin|Anthony van Dyck,"Morin, Jean|Van Dyck, Anthony",after|,French|Flemish,1590-01-01|1599-01-01,1650-01-01|1641-01-01,"Paris (Ville de Paris department, Île-de-France, France)|Antwerp (Antwerpen province, Flanders, Belgium)","Paris (Ville de Paris department, Île-de-France, France)|London, England"
Antoine Vitré,c. 1640-1650,1640-01-01,1650-01-01,engraving,46.16.2,cmoa:things/0d11c782-6444-4266-a8a6-4b0a6ebde9f6,Gift of Edward Duff Balken,1946-06-07,Fine Arts,Not on View,9.25,13.313,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007646,"Edward Duff Balken [1874-1960], Pittsburgh, PA (Lugt 843); gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, June 1946.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=105589&size=Medium,cmoa:parties/a6165f90-44af-4c56-b3dd-4e3ea0079c6f|cmoa:parties/8404a038-c1e2-4b71-8560-a7cef67a249d,Person|Person,Jean Morin|Philippe de Champaigne,"Morin, Jean|Champaigne, Philippe de",after|,French|French,1590-01-01|1602-01-01,1650-01-01|1674-01-01,"Paris (Ville de Paris department, Île-de-France, France)|Brussels (Bruxelles region, Belgium)","Paris (Ville de Paris department, Île-de-France, France)|Paris (Ville de Paris department, Île-de-France, France)"
Le Cardinal Guido Bentivoglio,c. 1640-1650,1640-01-01,1650-01-01,engraving,46.16.3,cmoa:things/b37aff5f-9352-45b1-afe6-db70ddbc174b,Gift of Edward Duff Balken,1946-06-07,Fine Arts,Not on View,9.313,11.688,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007655,"Edward Duff Balken [1874-1960], Pittsburgh, PA (Lugt 843); gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, June 1946.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=105590&size=Medium,cmoa:parties/a6165f90-44af-4c56-b3dd-4e3ea0079c6f|cmoa:parties/210e1c56-9d71-42e3-8910-f04ec39e3393,Person|Person,Jean Morin|Anthony van Dyck,"Morin, Jean|Van Dyck, Anthony",after|,French|Flemish,1590-01-01|1599-01-01,1650-01-01|1641-01-01,"Paris (Ville de Paris department, Île-de-France, France)|Antwerp (Antwerpen province, Flanders, Belgium)","Paris (Ville de Paris department, Île-de-France, France)|London, England"
"Charles de Valois, Duc d'Angouleme",c. 1640-1650,1640-01-01,1650-01-01,engraving,46.16.4,cmoa:things/18a1ac68-4538-48b9-869b-78734ba67fbb,Gift of Edward Duff Balken,1946-06-07,Fine Arts,Not on View,10.25,12.625,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007656,"Edward Duff Balken [1874-1960], Pittsburgh, PA (Lugt 843); gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, June 1946.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=105591&size=Medium,cmoa:parties/a6165f90-44af-4c56-b3dd-4e3ea0079c6f|cmoa:parties/8404a038-c1e2-4b71-8560-a7cef67a249d,Person|Person,Jean Morin|Philippe de Champaigne,"Morin, Jean|Champaigne, Philippe de",after|,French|French,1590-01-01|1602-01-01,1650-01-01|1674-01-01,"Paris (Ville de Paris department, Île-de-France, France)|Brussels (Bruxelles region, Belgium)","Paris (Ville de Paris department, Île-de-France, France)|Paris (Ville de Paris department, Île-de-France, France)"
François de Villemontée,c. 1640-1650,1640-01-01,1650-01-01,engraving,46.16.5,cmoa:things/6cf4f520-720c-4539-bda5-c6d1ce200484,Gift of Edward Duff Balken,1946-06-07,Fine Arts,Not on View,9.125,11.5,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007657,"Edward Duff Balken [1874-1960], Pittsburgh, PA (Lugt 843); gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, June 1946.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=105592&size=Medium,cmoa:parties/a6165f90-44af-4c56-b3dd-4e3ea0079c6f|cmoa:parties/8404a038-c1e2-4b71-8560-a7cef67a249d,Person|Person,Jean Morin|Philippe de Champaigne,"Morin, Jean|Champaigne, Philippe de",after|,French|French,1590-01-01|1602-01-01,1650-01-01|1674-01-01,"Paris (Ville de Paris department, Île-de-France, France)|Brussels (Bruxelles region, Belgium)","Paris (Ville de Paris department, Île-de-France, France)|Paris (Ville de Paris department, Île-de-France, France)"
"Henry II, King of France",c. 1640-1650,1640-01-01,1650-01-01,engraving,46.16.6,cmoa:things/47cb39f3-327d-4ed4-9315-43a9071ee307,Gift of Edward Duff Balken,1946-06-07,Fine Arts,Not on View,11.5,15.813,0.0,0.0,http://collection.cmoa.org/CollectionDetail.aspx?item=1007658,"Edward Duff Balken [1874-1960], Pittsburgh, PA (Lugt 843); gift to Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, June 1946.",prints,http://collection.cmoa.org/CollectionImage.aspx?irn=105593&size=Medium,cmoa:parties/a6165f90-44af-4c56-b3dd-4e3ea0079c6f|cmoa:parties/51d712bb-9600-422f-b13c-c8fcfe699aa5,Person|Person,Jean Morin|François Clouet,"Morin, Jean|Clouet, François",after|,French|French,1590-01-01|1511-01-01,1650-01-01|1572-01-01,"Paris (Ville de Paris department, Île-de-France, France)|Tours (Indre-et-Loire, Centre region, France)","Paris (Ville de Paris department, Île-de-France, France)|Paris (Ville de Paris department, Île-de-France, France)"
