song_title,lyrics
Being for the Benefit of Mr. Kite!,"Being for the Benefit of Mr. Kite! Lyrics[Verse 1]
For the benefit of Mr. Kite
There will be a show tonight on trampoline
The Hendersons will all be there
Late of Pablo Fanque's Fair, what a scene
Over men and horses hoops and garters
Lastly through a hogshead of real fire!
In his way Mr. K. will challenge the world!

[Verse 2]
The celebrated Mr. K
Performs his feat on Saturday at Bishopsgate
The Hendersons will dance and sing
As Mr. Kite flies through the ring don't be late
Messrs. K. and H. assure the public
Their production will be second to none
And of course Henry The Horse dances the waltz!
[Instrumental Break]
[Verse 3]
The band begins at ten to six
When Mr. K. performs his tricks without a sound
And Mr. H. will demonstrate
Ten somersets he'll undertake on solid ground
Having been some days in preparation
A splendid time is guaranteed for all
And tonight Mr. Kite is topping the billYou might also like8Embed"
Within You Without You,"Within You Without You Lyrics[Verse 1]
We were talking about the space between us all
And the people who hide themselves behind a wall of illusion
Never glimpse the truth, then it's far too late when they pass away

[Verse 2]
We were talking about the love we all could share
When we find it to try our best to hold it there with our love
With our love, we could save the world, if they only knew

[Chorus 1]
Try to realise it's all within yourself
No one else can make you change
And to see you're really only very small
And life flows on within you and without you
[Instrumental Break]

[Verse 3]
We were talking about the love that's gone so cold
And the people who gain the world and lose their soul
They don't know, they can't see, are you one of them?

[Chorus 2]
When you've seen beyond yourself then you may find
Peace of mind is waiting there
And the time will come when you see we're all one
And life flows on within you and without you

[*Sounds of children laughing*]You might also like20Embed"
When I'm Sixty-Four,"When I’m Sixty-Four Lyrics[Intro]

[Verse 1]
When I get older losing my hair
Many years from now
Will you still be sending me a valentine
Birthday greetings, bottle of wine?
If I'd been out till quarter to three
Would you lock the door?
Will you still need me, will you still feed me
When I'm sixty-four?
[Bridge 1]
You'll be older too
And if you say the word
I could stay with you

[Verse 2]
I could be handy mending a fuse
When your lights have gone
You can knit a sweater by the fireside
Sunday mornings go for a ride
Doing the garden, digging the weeds
Who could ask for more?
Will you still need me, will you still feed me
When I'm sixty-four?

[Bridge 2]
Every summer we can rent a cottage
In the Isle of Wight, if it's not too dear
We shall scrimp and save
Grandchildren on your knee
Vera, Chuck, and Dave

[Verse 3]
Send me a postcard, drop me a line
Stating point of view
Indicate precisely what you mean to say
Yours sincerely, wasting away
Give me your answer, fill in a form
Mine for evermore
Will you still need me, will you still feed me
When I'm sixty-four?
You might also like[Outro]
Whoo!8Embed"
Lovely Rita,"Lovely Rita Lyrics[Intro: John Lennon, Paul McCartney & George Harrison]
Ah
Lovely Rita, meter maid
Lovely Rita, meter maid

[Chorus 1: Paul McCartney]
Lovely Rita, meter maid
Nothing can come between us
When it gets dark I tow your heart away

[Verse 1: Paul McCartney]
Standing by a parking meter
When I caught a glimpse of Rita
Filling in a ticket in her little white book
In a cap she looked much older
And the bag across her shoulder
Made her look a little like a military man
[Chorus 2: Paul McCartney and (Lennon, McCartney & Harrison)]
Lovely Rita, meter maid
May I inquire discreetly (Lovely Rita)
When are you free to take some tea with me? (Lovely Rita maid! Ahh-ah-ah)
Rita!

[Piano Solo]

[Verse 2: Paul McCartney]
Took her out and tried to win her
Had a laugh and over dinner
Told her I would really like to see her again
Got the bill and Rita paid it
Took her home, I nearly made it
Sitting on the sofa with a sister or two

[Chorus 3: Paul McCartney]
Oh, lovely Rita meter maid
Where would I be without you?
Give us a wink and make me think of you

[Outro: John Lennon, Paul McCartney, & George Harrison and (Paul McCartney)]
Lovely Rita meter maid (Lovely meter maid)
Lovely Rita meter maid (Rita meter maid)
Lovely Rita meter maid (Oh Lovely Rita, meter meter maid)
Lovely Rita meter maid
Ah da, ah da, ah da, ah da
Ah da, ah da, ah da, ah da
Ah da, ah da, ah da, ah da
Ah da, ah da, ah da, ah daYou might also like5Embed"
Good Morning Good Morning,"Good Morning Good Morning Lyrics[Intro]
Good morning, good morning
Good morning, good morning
Good morning
[Verse 1]
Nothing to do to save his life, call his wife in
Nothing to say but what a day, how's your boy been?
Nothing to do, it's up to you
I've got nothing to say but it's okay
[Chorus]
Good morning, good morning
Good morning

[Verse 2]
Going to work, don't want to go, feeling low down
Heading for home, you start to roam, then you're in town

[Bridge 1]
Everybody knows there's nothing doing
Everything is closed, it's like a ruin
Everyone you see is half asleep
And you're on your own, you're in the street

[Verse 3]
After a while you start to smile, now you feel cool
Then you decide to take a walk by the old school
Nothing has changed, it's still the same
I've got nothing to say but it's okay

[Chorus]
Good morning, good morning
Good morning

[Guitar Solo]
You might also like[Bridge 2]
People running round, it's five o'clock
Everywhere in town it's getting dark
Everyone you see is full of life
It's time for tea and Meet the Wife
[Verse 4]
Somebody needs to know the time, glad that I'm here
Watching the skirts, you start to flirt, now you're in gear
Go to a show, you hope she goes
I've got nothing to say, but it's okay

[Chorus]
Good morning, good morning
Good...

[Outro]
Good morning, good morning, good
Good morning, good morning, good
Good morning, good morning, good
Good morning, good morning, good
Guten Morgen, guten Morgen, gut
Guten Morgen, guten Morgen, gut
Guten Morgen, guten Morgen, gut
Guten Morgen, guten Morgen, gut (Ja! Ja!)
Guten Morgen, guten Morgen, gut (Ja!)
Guten Morgen, guten Morgen, gut (Gewözei teuer)
Guten Morgen, guten Morgen, good morning6Embed"
Sgt. Pepper's Lonely Hearts Club Band (Reprise),"Sgt. Pepper’s Lonely Hearts Club Band (Reprise) Lyrics[Intro]
(One, two, three, four)
(Bye)

[Verse 1]
We're Sgt. Pepper's Lonely Hearts Club Band
We hope you have enjoyed the show
Sgt. Pepper's Lonely Hearts Club Band
We're sorry but it's time to go
Sgt. Pepper's lonely, Sgt. Pepper's lonely
Sgt. Pepper's lonely, Sgt. Pepper's lonely
[Verse 2]
Sgt. Pepper's Lonely Hearts Club Band
We'd like to thank you once again
Sgt. Pepper's one and only Lonely Hearts Club Band
It's getting very near the end
Sgt. Pepper's lonely, Sgt. Pepper's lonely
Sgt. Pepper's Lonely Hearts Club Band
(Woo)You might also likeEmbed"
A Day in the Life,"A Day in the Life Lyrics[Verse 1: John Lennon]
I read the news today—oh, boy
About a lucky man who made the grade
And though the news was rather sad
Well, I just had to laugh
I saw the photograph
He blew his mind out in a car
He didn't notice that the lights had changed
A crowd of people stood and stared
They'd seen his face before
Nobody was really sure if he was from the House of Lords
[Verse 2: John Lennon]
I saw a film today, oh boy
The English Army had just won the war
A crowd of people turned away
But I just had to look
Having read the book

[Refrain: John Lennon]
I'd love to turn you on
(Seven, Eight, Nine, Ten)
*alarm clock rings*
[Bridge: Paul McCartney]
Woke up, fell out of bed
Dragged a comb across my head
Found my way downstairs and drank a cup
And looking up I noticed I was late
Found my coat and grabbed my hat
Made the bus in seconds flat
Found my way upstairs and had a smoke
And somebody spoke and I went into a dream

[Interlude: John Lennon]
Ahh-ah-ah-ah
Ah-ah-ah, ah-ah-ahh
You might also like[Verse 3: John Lennon]
I read the news today—oh, boy
Four thousand holes in Blackburn, Lancashire
And though the holes were rather small
They had to count them all
Now they know how many holes it takes to fill the Albert Hall

[Refrain: John Lennon]
I'd love to turn you on
[Instrumental Outro]
*whistle*
*studio chatter*72Embed"
Magical Mystery Tour,"Magical Mystery Tour Lyrics[Intro: Paul McCartney]
(Roll up! Roll up for the magical mystery tour!
Step right this way!)

[Verse: Paul McCartney, George Harrison, and (John Lennon)]
Roll up, roll up for the mystery tour
Roll up, roll up for the mystery tour
Roll up (And that's an invitation), roll up for the mystery tour
Roll up (To make a reservation), roll up for the mystery tour

[Chorus 1: Paul McCartney]
The magical mystery tour is waiting to take you away
Waiting to take you away
[Verse: Paul McCartney, John Lennon and (George Harrison)]
Roll up, roll up for the mystery tour
Roll up, roll up for the mystery tour
Roll up (We've got everything you need), roll up for the mystery tour
Roll up (Satisfaction guaranteed), roll up for the mystery tour

[Chorus 2: Paul McCartney]
The magical mystery tour is hoping to take you away
Hoping to take you away

[Bridge]
A mystery trip

[Verse: John Lennon, George Harrison, and (Paul McCartney)]
Aaaah... the magical mystery tour
Roll up, roll up for the mystery tour
Roll up (And that's an invitation), roll up for the mystery tour
Roll up (To make a reservation), roll up for the mystery tour

[Chorus: Paul McCartney]
The magical mystery tour is coming to take you away
Coming to take you away
The magical mystery tour is dying to take you away
Dying to take you away, take you today

[Outro]You might also like4Embed"
The Fool on the Hill,"The Fool on the Hill Lyrics[Verse 1]
Day after day, alone on a hill
The man with the foolish grin is keeping perfectly still
But nobody wants to know him, they can see that he's just a fool
And he never gives an answer

[Chorus]
But the fool on the hill sees the sun going down
And the eyes in his head see the world spinning around

[Verse 2]
Well on the way, head in a cloud
The man of a thousand voices talking perfectly loud
But nobody ever hears him or the sound he appears to make
And he never seems to notice
[Chorus]
But the fool on the hill sees the sun going down
And the eyes in his head see the world spinning around

[Instrumental Bridge]

[Verse 3]
And nobody seems to like him, they can tell what he wants to do
And he never shows his feelings

[Chorus]
But the fool on the hill sees the sun going down
And the eyes in his head see the world spinning around

[Bridge]
Oh, oh, oh, oh, oh, oh, oh
Round and round and round and round and round

[Verse 4]
And he never listens to them, he knows that they're the fools
They don't like him

[Chorus]
The fool on the hill sees the sun going down
And the eyes in his head see the world spinning around
You might also like[Outro]
Oh (Round and round and round)
Oh10Embed"
Flying,
Blue Jay Way,"Blue Jay Way Lyrics[Verse 1]
There's a fog upon L.A
And my friends have lost their way
""We'll be over soon,"" they said
Now, they've lost themselves instead

[Chorus]
Please, don't be long
Please, don't you be very long
Please, don't be long
For I may be asleep
[Verse 2]
Well, it only goes to show
And I told them where to go
Ask a policeman on the street
There's so many there to meet

[Chorus]
Please, don't be long (Don't be long)
Please, don't you be very long (Don't be long)
Please, don't be long
Or I may be asleep

[Verse 3]
Now, it's past my bed I know (Know)
And I'd really like to go (Go)
Soon will be the break of day (Day)
Sitting here in Blue Jay Way (Way)

[Chorus]
Please, don't be long
Please, don't you be very long
Please, don't be long
Or I may be asleep
Please, don't be long
Please, don't you be very long
Please, don't be long
Please, don't be long
Please, don't you be very long
Please, don't be long
Please, don't be long
Please, don't you be very long
Please, don't be long
You might also like[Outro]
Don't be long, don't be long
Don't be long, don't be long
Don't be long, don't be long
Don't be long, don't be long5Embed"
Your Mother Should Know,"Your Mother Should Know Lyrics[Intro]
[Verse 1]
Let's all get up and dance to a song
That was a hit before your mother was born
Though she was born a long, long time ago
Your mother should know (Your mother should)
Your mother should know (Know)
Sing it again
Let's all get up and dance to a song
That was a hit before your mother was born
Though she was born a long, long time ago
Your mother should know (Your mother should)
Your mother should know (Know)
[Bridge]
[Verse 2]
Lift up your hearts and sing me a song
That was a hit before your mother was born
Though she was born a long, long time ago
Your mother should know (Your mother should)
Your mother should know (Know)
Your mother should know (Your mother should)
Your mother should know (Know)
[Bridge]
[Verse 3]
Sing it again
Da da dada da da da dada dada dada da da
Da dada da da
Though she was born a long, long time ago
Your mother should know (Your mother should)
Your mother should know (Know)
Your mother should know (Your mother should)
Your mother should know (Know)
Your mother should know (Your mother should)
Your mother should know (Know)You might also like9Embed"
I Am the Walrus,"I Am the Walrus Lyrics[Verse 1]
I am he as you are he as you are me and we are all together
See how they run like pigs from a gun, see how they fly
I'm crying

[Verse 2]
Sitting on a cornflake
Waiting for the van to come
Corporation tee-shirt, stupid bloody Tuesday
Man, you've been a naughty boy, you let your face grow long
[Chorus]
I am the eggman, they are the eggmen
I am the walrus, goo goo a'joob

[Verse 3]
Mister City p'liceman sitting, pretty little p'licemen in a row
See how they fly like Lucy in the sky, see how they run
I'm crying, I'm crying
I'm crying, I'm crying

[Verse 4]
Yellow-matter custard
Dripping from a dead dog's eye
Crab a locker fishwife, pornographic priestess
Boy, you've been a naughty girl, you let your knickers down

[Chorus]
I am the eggman, they are the egg men
I am the walrus, goo goo a'joob

[Bridge]
Sitting in an English garden waiting for the sun
If the sun don't come, you get a tan from standing in the English rain

[Chorus]
I am the egg man (Now good sir, what are you?)
They are the egg men (A poor man, made tame to fortune's blows)
I am the walrus, goo goo goo joob (Good pity)
G'goo goo g'joob
You might also like[Verse 5]
Expert, textpert, choking smokers
Don't you think the joker laughs at you?
(Ho ho ho, hee hee hee, ha ha ha)
See how they smile like pigs in a sty, see how they snied
I'm crying

[Verse 6]
Semolina pilchard
Climbing up the Eiffel Tower
Elementary penguin singing Hare Krishna
Man, you should have seen them kicking Edgar Allan Poe

[Chorus]
I am the eggman, they are the eggmen
I am the walrus, goo goo g'joob g'goo goo g'joob
Goo goo a'joob g'goo goo g'joob, g'goo
Joob! Joob! Joob!

[Bridge]
Joob! Joob! Joob!
Joob! Joob! Joob! Joob! Joob!
Joob! Joob!
Joob! Joob!

[Outro]
Umpa, umpa, stick it up your jumper
Everybody's got one, everybody's got one
“Villain, take my Purse
If ever thou wilt thrive, bury my Body
And give the Letters which thou findst about me
To Edmund Earl of Gloucester: seek him out upon the English Party
Oh, untimely death, death–”
“I know thee well, a serviceable Villain; as duteous to the Vices of thy Mistress as badness would desire”
“What, is he dead?”
“Sit you down, Father; rest you”35Embed"
"Hello, Good","Hello, Goodbye Lyrics[Verse 1]
You say yes, I say no
You say stop and I say go go go
Ooh no

[Chorus]
You say goodbye and I say hello
Hello, hello
I don't know why you say goodbye, I say hello
Hello, hello
I don't know why you say goodbye, I say hello
[Verse 2]
I say high, you say low
You say why and I say I don't know
Oh no

[Chorus]
You say goodbye and I say hello
(Hello, goodbye, hello, goodbye) Hello, hello
(Hello, goodbye) I don't know why you say goodbye, I say hello
(Hello, goodbye, hello, goodbye) Hello, hello
(Hello, goodbye) I don't know why you say goodbye, I say hello
(Hello, goodbye)

[Bridge]
Why why why why why why do you say goodbye?
Goodbye, bye bye bye bye
Oh no

[Chorus]
You say goodbye and I say hello
Hello, hello
I don't know why you say goodbye, I say hello
Hello, hello
I don't know why you say goodbye, I say hello

[Verse 3]
You say yes (I say yes)
I say no (But I may mean no)
You say stop (I can stay)
And I say go go go (Till it's time to go)
Oh, oh no
You might also like[Chorus]
You say goodbye and I say hello
Hello, hello
I don't know why you say goodbye, I say hello
Hello, hello
I don't know why you say goodbye, I say hello
Hello, hello
I don't know why you say goodbye, I say hello, oh, oh
Hello

[Outro]
Hela, heba helloa
Hela, heba helloa, cha cha cha
Hela, heba helloa, woo!
Hela, heba helloa, hela!
Hela, heba helloa, cha cha cha
Hela, heba helloa, woo-hoo!
Hela, heba helloa, cha cha cha
Hela, heba helloa, cha cha cha21Embed"
Strawberry Fields Forever,"Strawberry Fields Forever Lyrics[Chorus]
Let me take you down, 'cause I'm going to
Strawberry Fields
Nothing is real
And nothing to get hung about
Strawberry Fields forever

[Verse 1]
Living is easy with eyes closed
Misunderstanding all you see
It's getting hard to be someone, but it all works out
It doesn't matter much to me
[Chorus]
Let me take you down, 'cause I'm going to
Strawberry Fields
Nothing is real
And nothing to get hung about
Strawberry Fields forever
[Verse 2]
No one I think is in my tree
I mean, it must be high or low
That is, you can't, you know, tune in, but it's all right
That is, I think it's not too bad

[Chorus]
Let me take you down, 'cause I'm going to
Strawberry Fields
Nothing is real
And nothing to get hung about
Strawberry Fields forever

[Verse 3]
Always, no, sometimes think it's me
But you know, I know when it's a dream
I think I know, I mean—er—yes, but it's all wrong
That is, I think I disagree
You might also like[Chorus]
Let me take you down, 'cause I'm going to
Strawberry Fields
Nothing is real
And nothing to get hung about
Strawberry Fields forever
Strawberry Fields forever
Strawberry Fields forever

[Outro]
Cranberry sauce50Embed"
Penny Lane,"Penny Lane Lyrics[Verse 1: Paul McCartney]
In Penny Lane there is a barber showing photographs
Of every head he's had the pleasure to know
And all the people that come and go
Stop and say hello

[Verse 2: Paul McCartney]
On the corner is a banker with a motorcar
The little children laugh at him behind his back
And the banker never wears a mac
In the pouring rain
Very strange
[Chorus 1: Paul McCartney with John Lennon & George Harrison]
Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
I sit and meanwhile back

[Verse 3: Paul McCartney]
In Penny Lane there is a fireman with an hourglass
And in his pocket is a portrait of the Queen
He likes to keep his fire engine clean
It's a clean machine

[Piccolo trumpet solo]

[Chorus 2: Paul McCartney with John Lennon & George Harrison]
Penny Lane is in my ears and in my eyes
Four of fish and finger pies
In summer, meanwhile back

[Verse 4: Paul McCartney]
Behind the shelter in the middle of a roundabout
A pretty nurse is selling poppies from a tray
And though she feels as if she's in a play
She is anyway

[Verse 5: Paul McCartney]
In Penny Lane the barber shaves another customer
We see the banker sitting, waiting for a trim
And then the fireman rushes in
From the pouring rain
Very strange
You might also like[Chorus 1: Paul McCartney with John Lennon & George Harrison]
Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
I sit, and meanwhile back

[Chorus 2: Paul McCartney with John Lennon & George Harrison]
Penny Lane is in my ears and in my eyes
There beneath the blue suburban skies
Penny Lane25Embed"
Back in the U.S.S.R.,"Back in the U.S.S.R. Lyrics[Verse 1]
Flew in from Miami Beach, B.O.A.C
Didn't get to bed last night
On the way, the paper bag was on my knee
Man, I had a dreadful flight

[Chorus]
I'm back in the U.S.S.R.​
You don't know how lucky you are, boy
Back in the U.S.S.R.​
[Verse 2]
Been away so long, I hardly knew the place
Gee, it's good to be back home
Leave it 'till tomorrow to unpack my case
Honey, disconnect the phone

[Chorus]
I'm back in the U.S.S.R.​
You don't know how lucky you are, boy
Back in the U.S.​
Back in the U.S.​
Back in the U.S.S.R.​

[Bridge]
Well, the Ukraine girls really knock me out
They leave the West behind
And Moscow girls make me sing and shout
That Georgia's always on my mi-mi-mi-mi-mi-mi-mi-mi-mind
Oh, come on!

[Guitar Solo]

[Chorus]
Yeah, I'm back in the U.S.S.R.​
You don't know how lucky you are, boys
Back in the U.S.S.R.​
You might also like[Bridge]
Well, the Ukraine girls really knock me out
They leave the West behind
And Moscow girls make me sing and shout
That Georgia's always on my mi-mi-mi-mi-mi-mi-mi-mi-mind

[Verse 3]
Oh, show me round your snow-peaked mountains way down south
Take me to your daddy's farm
Let me hear your balalaikas ringing out
Come and keep your comrade warm

[Chorus]
I'm back in the U.S.S.R. (Hey)
You don't know how lucky you are, boys
Back in the U.S.S.R.​

[Outro]
Oh, let me tell you, honey
Hey, I'm back, I'm back in the U.S.S.R.​
Hey, it's so good to be home
Yeah, back in the U.S.S.R.​13Embed"
Dear Prudence,"Dear Prudence Lyrics[Intro]

[Verse 1]
Dear Prudence
Won't you come out to play?
Dear Prudence
Greet the brand-new day? (Hey)
The sun is up, the sky is blue
It's beautiful, and so are you
Dear Prudence
Won't you come out to play?
[Verse 2]
Dear Prudence
Open up your eyes
Dear Prudence
See the sunny skies
The wind is low, the birds will sing
That you are part of everything
Dear Prudence
Won't you open up your eyes?
[Bridge]
Look around, round, round
Look around, round, round
Look around
[Verse 3]
Dear Prudence
Let me see you smile
Dear Prudence
Like a little child
The clouds will be a daisy chain
So let me see you smile again
Dear Prudence
Won't you let me see you smile?

[Verse 1]
Dear Prudence
Won't you come out to play?
Dear Prudence
Greet the brand-new day
The sun is up, the sky is blue
It's beautiful, and so are you
Dear Prudence
Won't you come out to play?You might also like6Embed"
Glass Onion,"Glass Onion Lyrics[Verse 1]
I told you about Strawberry Fields
You know the place where nothing is real
Well here's another place you can go
Where everything flows

[Refrain]
Looking through the bent back tulips
To see how the other half lives
Looking through a glass onion
[Verse 2]
I told you about the walrus and me, man
You know that we're as close as can be, man
Well, here's another clue for you all
The walrus was Paul

[Refrain]
Standing on the cast iron shore, yeah
Lady Madonna trying to make ends meet, yeah
Looking through a glass onion

[Bridge]
Oh yeah, oh yeah, oh yeah
Looking through a glass onion

[Verse 3]
I told you about the fool on the hill
I tell you, man, he living there still
Well, here's another place you can be
Listen to me

[Refrain]
Fixing a hole in the ocean
Trying to make a dove-tail joint, yeah
Looking through a glass onionYou might also like6Embed"
"Ob-La-Di, Ob-La-Da","Ob-La-Di, Ob-La-Da Lyrics[Verse 1]
Desmond has a barrow in the marketplace
Molly is the singer in a band
Desmond says to Molly, “Girl, I like your face”
And Molly says this as she takes him by the hand

[Chorus]
Ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on
Ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on
[Verse 2]
Desmond takes a trolley to the jeweler's store (Chu chu chu)
Buys a twenty-carat golden ring (Ring)
Takes it back to Molly waiting at the door
And as he gives it to her, she begins to sing (Sing)

[Chorus]
Ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on
Ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on
Yeah

[Bridge]
In a couple of years, they have built a home sweet home
With a couple of kids running in the yard
Of Desmond and Molly Jones (Ha, ha, ha, ha, ha, ha)

[Verse 3]
Happy ever after in the marketplace
Desmond lets the children lend a hand (Arm, leg)
Molly stays at home and does her pretty face
And in the evening, she still sings it with the band
Yes!

[Chorus]
Ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on (Heh-heh)
Yeah, ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on
You might also like[Bridge]
In a couple of years, they have built a home sweet home
With a couple of kids running in the yard
Of Desmond and Molly Jones (Ha, ha, ha, ha, ha)
Yeah!

[Verse 4]
Happy ever after in the marketplace
Molly lets the children lend a hand (Foot)
Desmond stays at home and does his pretty face
And in the evening, she's a singer with the band (Yeah)

[Chorus]
Ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on
Yeah, ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on

[Outro]
And if you want some fun
Take Ob-la-di-bla-da
Ahh, thank you12Embed"
Wild Honey Pie,"Wild Honey Pie Lyrics[Chorus]
Honey pie
Honey pie

[Chorus]
Honey pie
Honey pie

[Chorus]
Honey pie
Honey pie
Honey pie
Honey pie
[Outro]
I love you, honey pieYou might also like2Embed"
The Continuing Story of Bungalow Bill,"The Continuing Story of Bungalow Bill Lyrics[Chorus]
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?

[Verse 1]
He went out tiger hunting with his elephant and gun
In case of accidents, he always took his mum
He's the all American, bullet-headed, Saxon mother's son
All the children sing
[Chorus]
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?

[Verse 2]
Deep in the jungle, where the mighty tiger lies
Bill and his elephants were taken by surprise
So Captain Marvel zapped him right between the eyes
All the children sing

[Chorus]
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?

[Verse 3]
The children asked him if to kill was not a sin
""Not when he looked so fierce,"" his mummy butted in
""If looks could kill, it would have been us instead of him""
All the children sing

[Chorus]
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
Hey, Bungalow Bill
What did you kill, Bungalow Bill?
You might also like[Outro]
Eh, up!6Embed"
While My Guitar Gently Weeps,"While My Guitar Gently Weeps Lyrics[Verse 1]
I look at you all, see the love there that's sleeping
While my guitar gently weeps
I look at the floor, and I see it needs sweeping
Still my guitar gently weeps

[Bridge 1]
I don't know why nobody told you
How to unfold your love
I don't know how someone controlled you
They bought and sold you
[Verse 2]
I look at the world, and I notice it's turning
While my guitar gently weeps
With every mistake, we must surely be learning
Still my guitar gently weeps

[Guitar Solo]

[Bridge 2]
I don't know how you were diverted
You were perverted too
I don't know how you were inverted
No one alerted you
[Verse 3]
I look at you all, see the love there that's sleeping
While my guitar gently weeps
(I look) Look at you all
Still my guitar gently weeps

[Outro]
Oh, oh
Oh, oh, oh, oh, oh, oh, oh
Oh, oh, oh, oh

Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, oh, oohYou might also like38Embed"
Happiness is a Warm Gun,"Happiness is a Warm Gun Lyrics[Part I: The Dirty Old Man]

[Verse 1: John Lennon, John Lennon & Paul McCartney]
She's not a girl who misses much
Do do do do do do, oh yeah
She's well-acquainted with the touch of the velvet hand
Like a lizard on a window pane
The man in the crowd with the multicoloured mirrors
On his hobnail boots
Lying with his eyes while his hands are busy
Working overtime
A soap impression of his wife which he ate
And donated to the National Trust
[Part II: The Junkie]

[Verse 2: John Lennon]
(Down)
I need a fix 'cause I'm going down
Down to the bits that I left uptown
I need a fix 'cause I'm going down
[Bridge: John Lennon & Paul McCartney]
Mother Superior jumped the gun
Mother Superior jumped the gun
Mother Superior jumped the gun
Mother Superior jumped the gun
Mother Superior jumped the gun
Mother Superior jumped the gun

[Part III: The Gunman (Satire of '50s R&R)]

[Chorus]
Happiness is a warm gun (Bang, bang, shoot, shoot)
Happiness is a warm gun, mama (Bang, bang, shoot, shoot)

[Verse 3]
When I hold you in my arms (Ooh, oh, yeah)
And I feel my finger on your trigger (Ooh, oh, yeah)
I know nobody can do me no harm (Ooh, oh, yeah)
Because
You might also like[Outro]
(Happiness) Is a warm gun, mama (Bang, bang, shoot, shoot)
Happiness is a warm gun, yes, it is (Bang, bang, shoot, shoot)
Happiness is a warm, yes, it is, gun (Happiness, bang, bang, shoot, shoot)
Well, don't you know that happiness is a warm gun, mama?
(Is a warm gun, yeah)25Embed"
Martha My Dear,"Martha My Dear Lyrics[Intro]

[Verse 1]
Martha, my dear
Though I spend my days in conversation
Please, remember me
Martha, my love
Don't forget me
Martha, my dear

[Bridge 1]
Hold your head up, you silly girl
Look what you've done
When you find yourself in the thick of it
Help yourself to a bit of what is all around you
Silly girl
[Bridge 2]
Take a good look around you
Take a good look, you're bound to see
That you and me were meant to be for each other
Silly girl

[Instrumental break]

[Bridge 1]
Hold your hand out, you silly girl
See what you've done
When you find yourself in the thick of it
Help yourself to a bit of what is all around you
Silly girl

[Verse 2]
Martha, my dear
You have always been my inspiration
Please, be good to me
Martha, my love
Don't forget me
Martha, my dearYou might also like3Embed"
I'm So Tired,"I’m So Tired Lyrics[Verse 1]
I'm so tired, I haven't slept a wink
I'm so tired, my mind is on the blink
I wonder should I get up and fix myself a drink
No, no, no

[Verse 2]
I'm so tired, I don't know what to do
I'm so tired, my mind is set on you
I wonder should I call you but I know what you would do
[Chorus]
You'd say I'm putting you on
But it's no joke, it's doing me harm
You know I can't sleep, I can't stop my brain
You know it's three weeks, I'm going insane
You know I'd give you everything I've got
For a little peace of mind

[Verse 3]
I'm so tired, I'm feeling so upset
Although I'm so tired, I'll have another cigarette
And curse Sir Walter Raleigh, he was such a stupid git

[Chorus]
You'd say I'm putting you on
But it's no joke, it's doing me harm
You know I can't sleep, I can't stop my brain
You know it's three weeks, I'm going insane!
You know I'd give you everything I've got
For a little peace of mind
I'd give you everything I've got for a little peace of mind
I'd give you everything I've got for a little peace of mind

[Outro]
Monsieur, monsieur, monsieur, how about another one?You might also like3Embed"
Blackbird,"Blackbird Lyrics[Verse 1]
Blackbird singing in the dead of night
Take these broken wings and learn to fly
All your life
You were only waiting for this moment to arise

[Verse 2]
Blackbird singing in the dead of night
Take these sunken eyes and learn to see
All your life
You were only waiting for this moment to be free
[Chorus]
Blackbird fly, blackbird fly
Into the light of the dark black night

[Instrumental Break]

[Chorus]
Blackbird fly, blackbird fly
Into the light of the dark black night

[Verse 3]
Blackbird singing in the dead of night
Take these broken wings and learn to fly
All your life
You were only waiting for this moment to arise

[Outro]
You were only waiting for this moment to arise
You were only waiting for this moment to ariseYou might also like43Embed"
